Filename,Algorithm,Nodes,Edges,Execution Time (s),Status,Colors
test20.in | Welsh-Powell | 29 | 29 | 0.000013644400 | PASSED | 3
test20.in | Greedy | 29 | 29 | 0.000006192600 | PASSED | 3
test21.in | Backtracking | 30 | 30 | 0.000008880400 | PASSED | 2
test21.in | Welsh-Powell | 30 | 30 | 0.000013854100 | PASSED | 2
test21.in | Greedy | 30 | 30 | 0.000006260900 | PASSED | 2
test22.in | Backtracking | 31 | 31 | 0.000027062600 | PASSED | 3
test22.in | Welsh-Powell | 31 | 31 | 0.000018627200 | PASSED | 3
test22.in | Greedy | 31 | 31 | 0.000006841101 | PASSED | 3
test23.in | Backtracking | 32 | 32 | 0.000009463601 | PASSED | 2
test23.in | Welsh-Powell | 32 | 32 | 0.000015093101 | PASSED | 2
test23.in | Greedy | 32 | 32 | 0.000006838900 | PASSED | 2
test24.in | Backtracking | 33 | 33 | 0.000031426401 | PASSED | 3
test24.in | Welsh-Powell | 33 | 33 | 0.000015223700 | PASSED | 3
test24.in | Greedy | 33 | 33 | 0.000006901400 | PASSED | 3
test25.in | Backtracking | 34 | 34 | 0.000009953099 | PASSED | 2
test25.in | Welsh-Powell | 34 | 34 | 0.000014540099 | PASSED | 2
test25.in | Greedy | 34 | 34 | 0.000007082300 | PASSED | 2
test26.in | Backtracking | 35 | 35 | 0.000030298000 | PASSED | 3
test26.in | Welsh-Powell | 35 | 35 | 0.000016552501 | PASSED | 3
test26.in | Greedy | 35 | 35 | 0.000007410600 | PASSED | 3
test27.in | Backtracking | 36 | 36 | 0.000010486200 | PASSED | 2
test27.in | Welsh-Powell | 36 | 36 | 0.000014787299 | PASSED | 2
test27.in | Greedy | 36 | 36 | 0.000007302400 | PASSED | 2
test28.in | Backtracking | 37 | 37 | 0.000033045000 | PASSED | 3
test28.in | Welsh-Powell | 37 | 37 | 0.000016433500 | PASSED | 3
test28.in | Greedy | 37 | 37 | 0.000007738600 | PASSED | 3
test29.in | Backtracking | 38 | 38 | 0.000015061600 | PASSED | 2
test29.in | Welsh-Powell | 38 | 38 | 0.000019190400 | PASSED | 2
