Filename,Algorithm,Nodes,Edges,Execution Time (s),Status,Colors
test29.in | Greedy | 29 | 28 | 0.000009879982 | PASSED | 2
test30.in | Backtracking | 30 | 29 | 0.000011170050 | PASSED | 2
test30.in | Welsh-Powell | 30 | 29 | 0.000022020051 | PASSED | 2
test30.in | Greedy | 30 | 29 | 0.000009159977 | PASSED | 2
test31.in | Backtracking | 31 | 30 | 0.000011310074 | PASSED | 2
test31.in | Welsh-Powell | 31 | 30 | 0.000020969985 | PASSED | 2
test31.in | Greedy | 31 | 30 | 0.000010040030 | PASSED | 2
test32.in | Backtracking | 32 | 31 | 0.000011680042 | PASSED | 2
test32.in | Welsh-Powell | 32 | 31 | 0.000030420022 | PASSED | 2
test32.in | Greedy | 32 | 31 | 0.000010550022 | PASSED | 2
test33.in | Backtracking | 33 | 32 | 0.000012529967 | PASSED | 2
test33.in | Welsh-Powell | 33 | 32 | 0.000022869976 | PASSED | 2
test33.in | Greedy | 33 | 32 | 0.000010659965 | PASSED | 2
test34.in | Backtracking | 34 | 33 | 0.000013079913 | PASSED | 2
test34.in | Welsh-Powell | 34 | 33 | 0.000022910023 | PASSED | 2
test34.in | Greedy | 34 | 33 | 0.000010680035 | PASSED | 2
test35.in | Backtracking | 35 | 34 | 0.000012520049 | PASSED | 2
test35.in | Welsh-Powell | 35 | 34 | 0.000024260022 | PASSED | 2
test35.in | Greedy | 35 | 34 | 0.000011129910 | PASSED | 2
test36.in | Backtracking | 36 | 35 | 0.000012879865 | PASSED | 2
test36.in | Welsh-Powell | 36 | 35 | 0.000024409965 | PASSED | 2
test36.in | Greedy | 36 | 35 | 0.000011890009 | PASSED | 2
test37.in | Backtracking | 37 | 36 | 0.000013619941 | PASSED | 2
test37.in | Welsh-Powell | 37 | 36 | 0.000025900034 | PASSED | 2
test37.in | Greedy | 37 | 36 | 0.000012089964 | PASSED | 2
test38.in | Backtracking | 38 | 37 | 0.000013580034 | PASSED | 2
test38.in | Welsh-Powell | 38 | 37 | 0.000025140028 | PASSED | 2
test38.in | Greedy | 38 | 37 | 0.000012000091 | PASSED | 2
test39.in | Backtracking | 39 | 38 | 0.000013600010 | PASSED | 2
test39.in | Welsh-Powell | 39 | 38 | 0.000029480085 | PASSED | 2
test39.in | Greedy | 39 | 38 | 0.000012800051 | PASSED | 2
test40.in | Backtracking | 40 | 39 | 0.000014570029 | PASSED | 2
test40.in | Welsh-Powell | 40 | 39 | 0.000026949961 | PASSED | 2
test40.in | Greedy | 40 | 39 | 0.000013059983 | PASSED | 2
test41.in | Backtracking | 41 | 40 | 0.000014150050 | PASSED | 2
test41.in | Welsh-Powell | 41 | 40 | 0.000027449988 | PASSED | 2
test41.in | Greedy | 41 | 40 | 0.000013509998 | PASSED | 2
test42.in | Backtracking | 42 | 41 | 0.000014909962 | PASSED | 2
test42.in | Welsh-Powell | 42 | 41 | 0.000028530043 | PASSED | 2
test42.in | Greedy | 42 | 41 | 0.000013379892 | PASSED | 2
test43.in | Backtracking | 43 | 42 | 0.000015740050 | PASSED | 2
test43.in | Welsh-Powell | 43 | 42 | 0.000029030023 | PASSED | 2
test43.in | Greedy | 43 | 42 | 0.000015019858 | PASSED | 2
test44.in | Backtracking | 44 | 43 | 0.000015299954 | PASSED | 2
test44.in | Welsh-Powell | 44 | 43 | 0.000029389979 | PASSED | 2
test44.in | Greedy | 44 | 43 | 0.000013389904 | PASSED | 2
test45.in | Backtracking | 45 | 44 | 0.000015750108 | PASSED | 2
test45.in | Welsh-Powell | 45 | 44 | 0.000041040126 | PASSED | 2
test45.in | Greedy | 45 | 44 | 0.000015299954 | PASSED | 2
test46.in | Backtracking | 46 | 45 | 0.000015879935 | PASSED | 2
test46.in | Welsh-Powell | 46 | 45 | 0.000031300075 | PASSED | 2
test46.in | Greedy | 46 | 45 | 0.000015479978 | PASSED | 2
test47.in | Backtracking | 47 | 46 | 0.000016309973 | PASSED | 2
test47.in | Welsh-Powell | 47 | 46 | 0.000031809974 | PASSED | 2
test47.in | Greedy | 47 | 46 | 0.000015199929 | PASSED | 2
test48.in | Backtracking | 48 | 47 | 0.000016580010 | PASSED | 2
test48.in | Welsh-Powell | 48 | 47 | 0.000032890029 | PASSED | 2
test48.in | Greedy | 48 | 47 | 0.000015500141 | PASSED | 2
test49.in | Backtracking | 49 | 48 | 0.000016919989 | PASSED | 2
test49.in | Welsh-Powell | 49 | 48 | 0.000032730028 | PASSED | 2
test49.in | Greedy | 49 | 48 | 0.000016369950 | PASSED | 2
test50.in | Backtracking | 50 | 49 | 0.000017090002 | PASSED | 2
test50.in | Welsh-Powell | 50 | 49 | 0.000033730036 | PASSED | 2
test50.in | Greedy | 50 | 49 | 0.000017319992 | PASSED | 2
test51.in | Backtracking | 51 | 50 | 0.000017599948 | PASSED | 2
test51.in | Welsh-Powell | 51 | 50 | 0.000034109969 | PASSED | 2
test51.in | Greedy | 51 | 50 | 0.000016159983 | PASSED | 2
test52.in | Backtracking | 52 | 51 | 0.000018539978 | PASSED | 2
test52.in | Welsh-Powell | 52 | 51 | 0.000034060003 | PASSED | 2
test52.in | Greedy | 52 | 51 | 0.000017009815 | PASSED | 2
test53.in | Backtracking | 53 | 52 | 0.000018440001 | PASSED | 2
test53.in | Welsh-Powell | 53 | 52 | 0.000035159895 | PASSED | 2
test53.in | Greedy | 53 | 52 | 0.000017759996 | PASSED | 2
test54.in | Backtracking | 54 | 53 | 0.000018639956 | PASSED | 2
test54.in | Welsh-Powell | 54 | 53 | 0.000036120042 | PASSED | 2
test54.in | Greedy | 54 | 53 | 0.000018300069 | PASSED | 2
test55.in | Backtracking | 55 | 54 | 0.000018840050 | PASSED | 2
test55.in | Welsh-Powell | 55 | 54 | 0.000036570057 | PASSED | 2
test55.in | Greedy | 55 | 54 | 0.000017919904 | PASSED | 2
test56.in | Backtracking | 56 | 55 | 0.000017760042 | PASSED | 2
test56.in | Welsh-Powell | 56 | 55 | 0.000050719921 | PASSED | 2
test56.in | Greedy | 56 | 55 | 0.000018529873 | PASSED | 2
test57.in | Backtracking | 57 | 56 | 0.000019739987 | PASSED | 2
test57.in | Welsh-Powell | 57 | 56 | 0.000038840063 | PASSED | 2
test57.in | Greedy | 57 | 56 | 0.000018899888 | PASSED | 2
test58.in | Backtracking | 58 | 57 | 0.000019969977 | PASSED | 2
test58.in | Welsh-Powell | 58 | 57 | 0.000038260175 | PASSED | 2
test58.in | Greedy | 58 | 57 | 0.000018840004 | PASSED | 2
test59.in | Backtracking | 59 | 58 | 0.000020280061 | PASSED | 2
test59.in | Welsh-Powell | 59 | 58 | 0.000040259957 | PASSED | 2
test59.in | Greedy | 59 | 58 | 0.000019260030 | PASSED | 2
test60.in | Backtracking | 60 | 59 | 0.000020570075 | PASSED | 2
test60.in | Welsh-Powell | 60 | 59 | 0.000039830012 | PASSED | 2
test60.in | Greedy | 60 | 59 | 0.000019900035 | PASSED | 2
test61.in | Backtracking | 61 | 60 | 0.000023989938 | PASSED | 2
test61.in | Welsh-Powell | 61 | 60 | 0.000040869974 | PASSED | 2
test61.in | Greedy | 61 | 60 | 0.000020469958 | PASSED | 2
test62.in | Backtracking | 62 | 61 | 0.000021260045 | PASSED | 2
test62.in | Welsh-Powell | 62 | 61 | 0.000041260058 | PASSED | 2
test62.in | Greedy | 62 | 61 | 0.000021809945 | PASSED | 2
test63.in | Backtracking | 63 | 62 | 0.000021230103 | PASSED | 2
test63.in | Welsh-Powell | 63 | 62 | 0.000042059971 | PASSED | 2
test63.in | Greedy | 63 | 62 | 0.000021079928 | PASSED | 2
test64.in | Backtracking | 64 | 63 | 0.000022390019 | PASSED | 2
test64.in | Welsh-Powell | 64 | 63 | 0.000040950021 | PASSED | 2
test64.in | Greedy | 64 | 63 | 0.000021299906 | PASSED | 2
test65.in | Backtracking | 65 | 64 | 0.000022510067 | PASSED | 2
test65.in | Welsh-Powell | 65 | 64 | 0.000070770038 | PASSED | 2
test65.in | Greedy | 65 | 64 | 0.000028319936 | PASSED | 2
test66.in | Backtracking | 66 | 65 | 0.000022829929 | PASSED | 2
test66.in | Welsh-Powell | 66 | 65 | 0.000043990044 | PASSED | 2
test66.in | Greedy | 66 | 65 | 0.000028709928 | PASSED | 2
test67.in | Backtracking | 67 | 66 | 0.000022379961 | PASSED | 2
test67.in | Welsh-Powell | 67 | 66 | 0.000092099980 | PASSED | 2
test67.in | Greedy | 67 | 66 | 0.000027480070 | PASSED | 2
test68.in | Backtracking | 68 | 67 | 0.000022409996 | PASSED | 2
test68.in | Welsh-Powell | 68 | 67 | 0.000049329968 | PASSED | 2
test68.in | Greedy | 68 | 67 | 0.000066910079 | PASSED | 2
test69.in | Backtracking | 69 | 68 | 0.000022980059 | PASSED | 2
test69.in | Welsh-Powell | 69 | 68 | 0.000046169991 | PASSED | 2
test69.in | Greedy | 69 | 68 | 0.000060680043 | PASSED | 2
test70.in | Backtracking | 70 | 69 | 0.000024290010 | PASSED | 2
test70.in | Welsh-Powell | 70 | 69 | 0.000047830027 | PASSED | 2
test70.in | Greedy | 70 | 69 | 0.000030939979 | PASSED | 2
test71.in | Backtracking | 71 | 70 | 0.000024069985 | PASSED | 2
